$0,$1,$2,$3,$4,$5,$6,$<0,$<1,$<2
1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.66941837647
1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.66941837647
1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.60982406772
1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.60982406772
1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.90021018694
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.68645777168
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.90021018694
1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.68645777168
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.04350797498
